movie_name,year,imdb_rating,genres,director,cast
Glass Island Returns,2006,5.3,Romance,Chloe Zhao,"Chris Hemsworth, Timothee Chalamet, Leonardo DiCaprio"
Last Shadow,2006,5.9,Mystery,David Fincher,"Robert Downey Jr., Gal Gadot, Benedict Cumberbatch"
Fallen Orbit,2000,6.9,"Adventure, Comedy, Fantasy",Quentin Tarantino,"Gal Gadot, Ryan Gosling, Christian Bale"
Invisible Code,1991,5.5,Fantasy,Edgar Wright,"Anne Hathaway, Matt Damon, Samuel L. Jackson"
Frozen Flame,1993,6.9,"Animation, Crime, Horror",David Fincher,"Samuel L. Jackson, Viola Davis, Emma Stone"
Forgotten River Zero,1985,8.8,Comedy,Denis Villeneuve,"Ryan Gosling, Benedict Cumberbatch, Natalie Portman"
Last Kingdom Forever,2014,5.8,"Fantasy, Mystery",Rian Johnson,"Jake Gyllenhaal, Benedict Cumberbatch, Tom Hanks"
Secret Code,2019,7.2,Thriller,Sofia Coppola,"Brad Pitt, Timothee Chalamet, Benedict Cumberbatch"
Glass Kingdom Returns,1996,6.8,Romance,Martin Scorsese,"Gal Gadot, Samuel L. Jackson, Chris Hemsworth"
Royal Hunter,1987,9.1,Fantasy,Rian Johnson,"Timothee Chalamet, Zendaya, Anne Hathaway"
Secret Season Reborn,2004,5.3,"Action, Adventure, Drama",Taika Waititi,"Oscar Isaac, Timothee Chalamet, Scarlett Johansson"
Secret Pulse Beyond,1989,8.1,"Crime, Drama",Denis Villeneuve,"Margot Robbie, Sandra Bullock, Florence Pugh"
Hollow Memory at Dawn,2004,7.4,Animation,Peter Jackson,"Scarlett Johansson, Keanu Reeves, Amy Adams"
Iron Odyssey,2006,9.0,"Sci-Fi, Thriller",Peter Jackson,"Zendaya, Benedict Cumberbatch, Robert Downey Jr."
Last Storm,2002,9.3,Action,Sofia Coppola,"Jessica Chastain, Tom Hanks, Michael B. Jordan"
Shadow Island,2012,7.4,Adventure,Martin Scorsese,"Keanu Reeves, Jake Gyllenhaal, Tom Hanks"
Wild Destiny,2012,9.3,"Action, Crime",Guy Ritchie,"Keanu Reeves, Viola Davis, Matt Damon"
Hidden Trial of the Stars,1991,9.1,"Fantasy, Mystery",Damien Chazelle,"Amy Adams, Tom Hanks, Viola Davis"
Shadow Signal,1986,8.2,"Drama, Thriller",Bong Joon-ho,"Matt Damon, Gal Gadot, Samuel L. Jackson"
Midnight Machine Returns,2009,7.0,Horror,David Fincher,"Natalie Portman, Sandra Bullock, Viola Davis"
Shattered Shadow Awakens,2010,7.2,"Adventure, Crime",Guillermo del Toro,"Robert Downey Jr., Christian Bale, Michael B. Jordan"
Neon City,1992,6.9,"Animation, Romance",Peter Jackson,"Brad Pitt, Scarlett Johansson, Oscar Isaac"
Ancient Chronicle,2017,8.1,Fantasy,Sam Mendes,"Natalie Portman, Robert Downey Jr., Brad Pitt"
Silent Memory,2019,7.7,"Drama, Fantasy",Martin Scorsese,"Gal Gadot, Viola Davis, Anne Hathaway"
Lost Promise,2011,7.9,"Crime, Fantasy",Chloe Zhao,"Tom Hanks, Natalie Portman, Ryan Gosling"
Sacred Signal,2004,7.6,"Action, Crime, Mystery",Greta Gerwig,"Natalie Portman, Ryan Gosling, Matt Damon"
Ancient Witness Awakens,2017,7.7,"Adventure, Animation, Thriller",Greta Gerwig,"Zendaya, Gal Gadot, Michael B. Jordan"
Golden Hunter,1999,8.7,"Action, Animation",Steven Spielberg,"Chris Hemsworth, Benedict Cumberbatch, Oscar Isaac"
Dark Witness in Exile,1997,8.9,"Comedy, Fantasy, Horror",Ridley Scott,"Michael B. Jordan, Jake Gyllenhaal, Leonardo DiCaprio"
Crimson Chronicle of Fire,2018,7.0,"Action, Comedy, Mystery",Quentin Tarantino,"Margot Robbie, Tom Hanks, Matt Damon"
Glass Fortress,2013,6.1,"Animation, Horror, Mystery",Edgar Wright,"Samuel L. Jackson, Benedict Cumberbatch, Margot Robbie"
Midnight Machine,2018,6.0,"Comedy, Crime, Sci-Fi",Taika Waititi,"Emma Stone, Jake Gyllenhaal, Johnny Depp"
Lonely Season,1990,5.3,"Animation, Comedy",Patty Jenkins,"Jake Gyllenhaal, Tom Hanks, Natalie Portman"
Electric City,2011,7.6,Comedy,Bong Joon-ho,"Jennifer Lawrence, Keanu Reeves, Jessica Chastain"
Broken Orbit,2007,7.7,"Fantasy, Thriller",Chloe Zhao,"Amy Adams, Florence Pugh, Matt Damon"
Eternal Phoenix of Tomorrow,1986,9.0,"Drama, Fantasy, Sci-Fi",Edgar Wright,"Morgan Freeman, Sandra Bullock, Margot Robbie"
Hollow Night in Exile,2021,7.0,Adventure,Jordan Peele,"Ryan Gosling, Tom Hanks, Samuel L. Jackson"
Last Mirror of Tomorrow,2005,8.7,"Crime, Fantasy",Guillermo del Toro,"Sandra Bullock, Ryan Gosling, Robert Downey Jr."
Radiant Dream,1988,8.3,"Comedy, Sci-Fi",Martin Scorsese,"Jessica Chastain, Michael B. Jordan, Brad Pitt"
Midnight Flame,2024,9.2,"Animation, Comedy",Wes Anderson,"Gal Gadot, Scarlett Johansson, Timothee Chalamet"
Invisible Mirror,1995,9.1,Animation,Greta Gerwig,"Scarlett Johansson, Timothee Chalamet, Leonardo DiCaprio"
Royal Labyrinth Awakens,1989,8.5,"Adventure, Crime",Rian Johnson,"Oscar Isaac, Matt Damon, Scarlett Johansson"
Royal Journey of the Stars,2008,6.8,Mystery,Jordan Peele,"Anne Hathaway, Leonardo DiCaprio, Samuel L. Jackson"
Storm River of the Stars,2014,7.7,"Animation, Fantasy",Edgar Wright,"Zendaya, Michael B. Jordan, Robert Downey Jr."
Neon Garden,2022,6.1,"Comedy, Drama",Martin Scorsese,"Robert Downey Jr., Keanu Reeves, Margot Robbie"
Invisible Orbit,2009,6.6,"Action, Horror",Sofia Coppola,"Morgan Freeman, Benedict Cumberbatch, Natalie Portman"
Velvet City of Fire,2002,6.8,Mystery,James Cameron,"Emma Stone, Chris Hemsworth, Amy Adams"
Forgotten Hunter,2016,6.3,"Action, Adventure, Crime",David Fincher,"Jennifer Lawrence, Jake Gyllenhaal, Chris Hemsworth"
Restless Echo,2018,6.2,"Fantasy, Mystery",Sofia Coppola,"Christian Bale, Jake Gyllenhaal, Margot Robbie"
Velvet Shadow Beyond,1992,7.6,"Comedy, Thriller",Edgar Wright,"Benedict Cumberbatch, Robert Downey Jr., Amy Adams"
Glass Awakening Zero,1997,7.4,"Comedy, Drama",Denis Villeneuve,"Johnny Depp, Leonardo DiCaprio, Jake Gyllenhaal"
Iron Journey,2020,5.5,"Animation, Thriller",Jordan Peele,"Samuel L. Jackson, Jessica Chastain, Benedict Cumberbatch"
Silent Orbit of Tomorrow,2006,6.8,"Action, Crime",Wes Anderson,"Scarlett Johansson, Sandra Bullock, Emma Stone"
Dark Orbit,1988,7.5,"Animation, Romance",Greta Gerwig,"Emma Stone, Chris Hemsworth, Scarlett Johansson"
Electric Awakening,2024,8.8,"Fantasy, Mystery",Taika Waititi,"Viola Davis, Margot Robbie, Johnny Depp"
Blue Promise,1988,5.4,Comedy,Jordan Peele,"Natalie Portman, Robert Downey Jr., Gal Gadot"
Midnight Signal,1995,6.3,Fantasy,Taika Waititi,"Jake Gyllenhaal, Oscar Isaac, Benedict Cumberbatch"
Eternal Odyssey,2014,8.5,Sci-Fi,David Fincher,"Viola Davis, Robert Downey Jr., Matt Damon"
Restless Flame Awakens,1994,7.6,"Adventure, Animation",Steven Spielberg,"Morgan Freeman, Matt Damon, Johnny Depp"
Royal Odyssey of Fire,2004,5.2,"Crime, Mystery, Sci-Fi",Wes Anderson,"Margot Robbie, Emma Stone, Oscar Isaac"
Blue Season,1986,7.6,Comedy,Rian Johnson,"Sandra Bullock, Samuel L. Jackson, Timothee Chalamet"
Broken Machine,1996,7.8,"Horror, Mystery, Sci-Fi",Peter Jackson,"Morgan Freeman, Timothee Chalamet, Ryan Gosling"
Storm Storm,2011,6.8,"Drama, Sci-Fi",Quentin Tarantino,"Samuel L. Jackson, Morgan Freeman, Anne Hathaway"
Storm Odyssey,2010,9.3,Horror,Martin Scorsese,"Anne Hathaway, Robert Downey Jr., Scarlett Johansson"
Final Pulse,1985,7.2,"Action, Comedy, Fantasy",Kathryn Bigelow,"Christian Bale, Oscar Isaac, Jessica Chastain"
Red Code Reborn,2003,6.1,"Adventure, Horror, Thriller",Christopher Nolan,"Michael B. Jordan, Oscar Isaac, Matt Damon"
Shadow Promise,2020,5.7,"Adventure, Comedy, Thriller",Taika Waititi,"Scarlett Johansson, Michael B. Jordan, Sandra Bullock"
Silver Pulse,2011,9.1,"Comedy, Horror, Thriller",Chloe Zhao,"Tom Hanks, Jennifer Lawrence, Natalie Portman"
Dust Heart,2002,7.6,"Crime, Drama, Mystery",Christopher Nolan,"Johnny Depp, Amy Adams, Sandra Bullock"
Storm Game Beyond,2006,6.0,"Comedy, Drama, Horror",Ava DuVernay,"Chris Hemsworth, Timothee Chalamet, Jennifer Lawrence"
Electric Journey of Fire,2009,9.2,"Animation, Sci-Fi, Thriller",Wes Anderson,"Brad Pitt, Tom Hanks, Zendaya"
Lonely River,2013,6.8,Mystery,Taika Waititi,"Leonardo DiCaprio, Amy Adams, Tom Hanks"
Rising Legacy,2001,8.8,"Fantasy, Romance",Jordan Peele,"Emma Stone, Samuel L. Jackson, Anne Hathaway"
Neon Labyrinth,2025,9.1,"Action, Mystery, Romance",Martin Scorsese,"Chris Hemsworth, Michael B. Jordan, Gal Gadot"
Eternal Storm of Shadows,2025,5.1,Horror,Denis Villeneuve,"Jake Gyllenhaal, Johnny Depp, Keanu Reeves"
Ancient Code Unbound,1994,5.7,"Fantasy, Mystery",Sam Mendes,"Gal Gadot, Matt Damon, Morgan Freeman"
Golden Cipher,2024,6.1,"Horror, Romance",Ridley Scott,"Chris Hemsworth, Margot Robbie, Michael B. Jordan"
Velvet Empire,2014,9.3,"Mystery, Sci-Fi",Denis Villeneuve,"Emma Stone, Margot Robbie, Christian Bale"
Shattered Chronicle,2014,7.5,"Comedy, Fantasy",Wes Anderson,"Scarlett Johansson, Chris Hemsworth, Jennifer Lawrence"
Royal Odyssey,2003,8.8,Sci-Fi,Patty Jenkins,"Robert Downey Jr., Leonardo DiCaprio, Timothee Chalamet"
Last Awakening,2003,6.1,"Drama, Romance",David Fincher,"Michael B. Jordan, Natalie Portman, Oscar Isaac"
Fallen River,1987,5.4,"Action, Horror",Sam Mendes,"Christian Bale, Amy Adams, Tom Hanks"
Silver Season,1996,8.7,"Animation, Mystery",Guy Ritchie,"Zendaya, Viola Davis, Robert Downey Jr."
Velvet Garden,2003,8.8,"Adventure, Horror",Martin Scorsese,"Tom Hanks, Jessica Chastain, Chris Hemsworth"
Final Fortress Unbound,1985,8.0,"Adventure, Mystery",Taika Waititi,"Christian Bale, Gal Gadot, Amy Adams"
Restless Labyrinth,2008,8.9,Sci-Fi,David Fincher,"Benedict Cumberbatch, Leonardo DiCaprio, Oscar Isaac"
Forgotten Season,1999,7.9,Sci-Fi,Taika Waititi,"Viola Davis, Jake Gyllenhaal, Johnny Depp"
Lost Heart,2004,6.6,"Adventure, Comedy, Thriller",Chloe Zhao,"Tom Hanks, Jennifer Lawrence, Margot Robbie"
Neon Frontier,1994,8.0,"Adventure, Horror, Sci-Fi",Damien Chazelle,"Ryan Gosling, Robert Downey Jr., Brad Pitt"
Secret Island Zero,2008,6.6,Sci-Fi,Guy Ritchie,"Florence Pugh, Keanu Reeves, Michael B. Jordan"
Final Machine Zero,2014,5.2,Sci-Fi,James Cameron,"Michael B. Jordan, Oscar Isaac, Leonardo DiCaprio"
Lonely Hunter,2021,8.8,"Adventure, Mystery",James Cameron,"Timothee Chalamet, Natalie Portman, Sandra Bullock"
Lonely Game,2023,8.5,Crime,Ridley Scott,"Tom Hanks, Florence Pugh, Robert Downey Jr."
Lost Dream of Shadows,2000,6.9,"Action, Animation",Peter Jackson,"Brad Pitt, Tom Hanks, Amy Adams"
Lost Legacy,2008,8.2,Horror,Kathryn Bigelow,"Chris Hemsworth, Oscar Isaac, Brad Pitt"
Glass Promise,1986,7.2,Horror,Patty Jenkins,"Ryan Gosling, Gal Gadot, Scarlett Johansson"
Red Legacy,2005,7.4,"Adventure, Animation",Peter Jackson,"Oscar Isaac, Michael B. Jordan, Timothee Chalamet"
Ancient Labyrinth,2018,8.1,"Horror, Mystery",Damien Chazelle,"Ryan Gosling, Scarlett Johansson, Matt Damon"
Forgotten Truth Awakens,2011,6.9,"Fantasy, Horror",Bong Joon-ho,"Amy Adams, Scarlett Johansson, Anne Hathaway"
Velvet Echo,2015,8.3,Adventure,Martin Scorsese,"Emma Stone, Ryan Gosling, Scarlett Johansson"
Wild Heart,2022,9.1,"Adventure, Sci-Fi",Bong Joon-ho,"Christian Bale, Samuel L. Jackson, Gal Gadot"
Blue Code,2023,7.9,"Adventure, Drama",Sam Mendes,"Zendaya, Natalie Portman, Tom Hanks"
Eternal River Beyond,1992,8.6,"Comedy, Romance",Bong Joon-ho,"Samuel L. Jackson, Florence Pugh, Jessica Chastain"
Hollow Fortress of the Stars,2002,9.1,Animation,Peter Jackson,"Jake Gyllenhaal, Jessica Chastain, Johnny Depp"
Scarlet Empire in Exile,2010,8.3,Animation,Edgar Wright,"Michael B. Jordan, Leonardo DiCaprio, Emma Stone"
Secret Labyrinth Reborn,2008,8.9,"Drama, Thriller",Guillermo del Toro,"Timothee Chalamet, Oscar Isaac, Emma Stone"
Rising Kingdom,1988,7.7,Crime,Taika Waititi,"Gal Gadot, Ryan Gosling, Benedict Cumberbatch"
Electric Machine Returns,2007,5.2,"Adventure, Crime, Romance",Wes Anderson,"Zendaya, Gal Gadot, Johnny Depp"
Final Awakening Forever,1998,8.3,"Crime, Thriller",Sofia Coppola,"Scarlett Johansson, Leonardo DiCaprio, Benedict Cumberbatch"
Burning Heart Awakens,2017,7.0,"Adventure, Fantasy",Edgar Wright,"Brad Pitt, Ryan Gosling, Leonardo DiCaprio"
Dark Season,2021,9.3,"Fantasy, Sci-Fi, Thriller",Greta Gerwig,"Scarlett Johansson, Jennifer Lawrence, Leonardo DiCaprio"
Shadow Cipher,2008,6.8,Fantasy,Quentin Tarantino,"Chris Hemsworth, Ryan Gosling, Timothee Chalamet"
Golden Voyage,2006,7.3,"Animation, Drama",Martin Scorsese,"Zendaya, Michael B. Jordan, Scarlett Johansson"
Frozen Trial of the Stars,1994,5.7,"Adventure, Animation",Peter Jackson,"Natalie Portman, Morgan Freeman, Oscar Isaac"
Dark Signal,2025,7.5,"Horror, Romance, Sci-Fi",Taika Waititi,"Gal Gadot, Viola Davis, Keanu Reeves"
Hollow Season,2025,6.3,"Animation, Horror",Martin Scorsese,"Benedict Cumberbatch, Margot Robbie, Michael B. Jordan"
Iron Destiny Returns,2004,7.8,"Action, Horror, Sci-Fi",Guy Ritchie,"Sandra Bullock, Johnny Depp, Emma Stone"
Golden Cipher,2009,7.9,"Action, Mystery, Romance",Taika Waititi,"Viola Davis, Matt Damon, Timothee Chalamet"
Ancient Awakening,1994,6.5,Horror,Quentin Tarantino,"Matt Damon, Keanu Reeves, Sandra Bullock"
Golden Pulse,1987,6.6,"Horror, Thriller",Taika Waititi,"Zendaya, Oscar Isaac, Morgan Freeman"
Silver Labyrinth of the Stars,2023,7.5,Sci-Fi,Jordan Peele,"Anne Hathaway, Emma Stone, Scarlett Johansson"
Sacred Odyssey of the Stars,2023,6.5,"Adventure, Drama",Sam Mendes,"Gal Gadot, Tom Hanks, Viola Davis"
Final Heart,1990,5.6,"Fantasy, Mystery",Jordan Peele,"Matt Damon, Anne Hathaway, Sandra Bullock"
Glass Storm,2012,9.2,"Action, Drama",Greta Gerwig,"Morgan Freeman, Natalie Portman, Anne Hathaway"
Storm Flame Reborn,1989,8.9,"Adventure, Mystery",Guillermo del Toro,"Florence Pugh, Sandra Bullock, Amy Adams"
Hidden City,2024,8.4,"Fantasy, Romance",Ridley Scott,"Morgan Freeman, Sandra Bullock, Jake Gyllenhaal"
Shadow Island of the Stars,2000,9.2,"Crime, Horror, Romance",David Fincher,"Florence Pugh, Chris Hemsworth, Johnny Depp"
Radiant Flame of Tomorrow,2014,5.9,"Fantasy, Mystery",Kathryn Bigelow,"Ryan Gosling, Morgan Freeman, Sandra Bullock"
Wicked Heart,1988,6.3,"Adventure, Drama, Mystery",Ava DuVernay,"Samuel L. Jackson, Zendaya, Scarlett Johansson"
Shadow Machine Reborn,2012,5.1,Comedy,Taika Waititi,"Keanu Reeves, Christian Bale, Viola Davis"
Last Voyage,2000,8.7,"Adventure, Comedy, Drama",Christopher Nolan,"Anne Hathaway, Viola Davis, Scarlett Johansson"
Lonely Game Rise,2015,5.3,"Horror, Thriller",Taika Waititi,"Oscar Isaac, Leonardo DiCaprio, Keanu Reeves"
Velvet Truth,2020,6.8,"Adventure, Comedy, Crime",Greta Gerwig,"Scarlett Johansson, Brad Pitt, Chris Hemsworth"
Hollow Witness Rise,2016,5.6,Sci-Fi,Kathryn Bigelow,"Timothee Chalamet, Chris Hemsworth, Jake Gyllenhaal"
Blue Empire,2000,7.4,"Adventure, Animation, Sci-Fi",Kathryn Bigelow,"Christian Bale, Emma Stone, Zendaya"
Dust Fortress of Tomorrow,1987,6.1,"Action, Crime, Drama",Guy Ritchie,"Matt Damon, Emma Stone, Christian Bale"
Crimson Destiny,2006,5.8,"Action, Drama",Chloe Zhao,"Anne Hathaway, Sandra Bullock, Michael B. Jordan"
Invisible Garden,1993,5.9,Thriller,Guillermo del Toro,"Margot Robbie, Brad Pitt, Johnny Depp"
Frozen Journey at Dawn,2010,5.2,"Action, Comedy, Crime",Greta Gerwig,"Christian Bale, Samuel L. Jackson, Jessica Chastain"
Lonely Machine Unbound,2010,9.1,"Animation, Drama, Fantasy",Wes Anderson,"Jake Gyllenhaal, Benedict Cumberbatch, Christian Bale"
Glass Machine,2012,6.3,Fantasy,Damien Chazelle,"Sandra Bullock, Morgan Freeman, Florence Pugh"
Crimson Storm Forever,2013,9.0,"Animation, Drama, Horror",Taika Waititi,"Brad Pitt, Amy Adams, Samuel L. Jackson"
Hollow Chronicle,1989,8.0,"Animation, Drama, Mystery",Christopher Nolan,"Tom Hanks, Samuel L. Jackson, Oscar Isaac"
Red Journey of Shadows,2008,7.0,"Fantasy, Romance",Steven Spielberg,"Oscar Isaac, Tom Hanks, Gal Gadot"
Wild Echo in Exile,1993,5.1,"Drama, Fantasy",Jordan Peele,"Robert Downey Jr., Chris Hemsworth, Scarlett Johansson"
Burning Phoenix,2020,5.9,Crime,Guillermo del Toro,"Robert Downey Jr., Jake Gyllenhaal, Margot Robbie"
Hollow Odyssey,2016,8.1,"Adventure, Animation",Martin Scorsese,"Margot Robbie, Morgan Freeman, Keanu Reeves"
Golden Season,1989,5.8,"Animation, Crime",Ava DuVernay,"Jake Gyllenhaal, Viola Davis, Michael B. Jordan"
Wild Pulse of Shadows,1993,7.1,"Action, Horror",Guy Ritchie,"Florence Pugh, Timothee Chalamet, Christian Bale"
Forgotten Heart,1990,7.3,Crime,Patty Jenkins,"Jake Gyllenhaal, Amy Adams, Benedict Cumberbatch"
Electric Orbit of the Stars,1989,8.4,"Horror, Mystery, Sci-Fi",Guy Ritchie,"Tom Hanks, Keanu Reeves, Sandra Bullock"
Restless Signal,1993,5.7,"Action, Adventure, Mystery",Kathryn Bigelow,"Tom Hanks, Johnny Depp, Morgan Freeman"
Eternal Trial,2018,5.6,"Adventure, Crime",James Cameron,"Michael B. Jordan, Florence Pugh, Robert Downey Jr."
Shattered Cipher,2017,8.2,"Romance, Thriller",Ridley Scott,"Morgan Freeman, Gal Gadot, Oscar Isaac"
Wicked City,2021,7.5,Action,Martin Scorsese,"Brad Pitt, Michael B. Jordan, Jessica Chastain"
Secret Orbit,2016,6.8,"Crime, Sci-Fi",Wes Anderson,"Chris Hemsworth, Matt Damon, Gal Gadot"
Invisible Legacy,1995,6.4,"Fantasy, Horror, Sci-Fi",James Cameron,"Anne Hathaway, Oscar Isaac, Tom Hanks"
Ancient Trial,1993,5.5,"Mystery, Thriller",Quentin Tarantino,"Anne Hathaway, Chris Hemsworth, Margot Robbie"
Red Hunter,2003,7.5,"Comedy, Fantasy, Romance",Denis Villeneuve,"Sandra Bullock, Anne Hathaway, Viola Davis"
Ancient Flame,2016,7.0,"Crime, Horror, Thriller",Christopher Nolan,"Emma Stone, Jennifer Lawrence, Zendaya"
Midnight Truth,1988,7.9,Crime,Wes Anderson,"Oscar Isaac, Keanu Reeves, Sandra Bullock"
Radiant Odyssey,1991,6.8,"Animation, Crime, Drama",Guillermo del Toro,"Jennifer Lawrence, Christian Bale, Brad Pitt"
Royal Fortress Forever,1989,7.7,"Horror, Mystery, Thriller",Peter Jackson,"Sandra Bullock, Oscar Isaac, Gal Gadot"
Fallen River Beyond,2020,5.2,"Animation, Comedy",Damien Chazelle,"Zendaya, Jennifer Lawrence, Brad Pitt"
Fallen City,2018,6.4,"Animation, Mystery, Romance",Ridley Scott,"Anne Hathaway, Viola Davis, Oscar Isaac"
Final Cipher,2004,6.3,"Mystery, Thriller",Chloe Zhao,"Benedict Cumberbatch, Jake Gyllenhaal, Timothee Chalamet"
Broken Echo Unbound,2022,9.3,"Sci-Fi, Thriller",Christopher Nolan,"Oscar Isaac, Benedict Cumberbatch, Robert Downey Jr."
Restless Orbit,2022,8.6,"Animation, Mystery, Romance",Guillermo del Toro,"Sandra Bullock, Jennifer Lawrence, Tom Hanks"
Midnight Journey,1992,5.9,"Action, Horror",Sofia Coppola,"Ryan Gosling, Tom Hanks, Jake Gyllenhaal"
Dust Cipher,1988,7.3,"Comedy, Mystery",Chloe Zhao,"Anne Hathaway, Gal Gadot, Benedict Cumberbatch"
Ancient Signal,2019,8.0,"Drama, Mystery",Rian Johnson,"Jessica Chastain, Samuel L. Jackson, Amy Adams"
Velvet Cipher,2000,5.9,"Crime, Mystery",David Fincher,"Johnny Depp, Jessica Chastain, Jake Gyllenhaal"
Storm Season,2020,8.9,"Adventure, Crime",Sam Mendes,"Gal Gadot, Florence Pugh, Jennifer Lawrence"
Final Trial,1994,6.9,"Action, Crime",Ava DuVernay,"Emma Stone, Christian Bale, Viola Davis"
Velvet Garden at Dawn,2002,6.1,"Adventure, Animation",Damien Chazelle,"Amy Adams, Timothee Chalamet, Chris Hemsworth"
Glass Shadow,1988,8.0,Fantasy,Sofia Coppola,"Jake Gyllenhaal, Benedict Cumberbatch, Scarlett Johansson"
Fallen Empire,1995,6.4,"Horror, Sci-Fi, Thriller",Jordan Peele,"Natalie Portman, Jessica Chastain, Johnny Depp"
Last Storm,1999,9.1,Animation,Bong Joon-ho,"Keanu Reeves, Sandra Bullock, Morgan Freeman"
Hidden Voyage,1996,9.1,"Action, Thriller",Greta Gerwig,"Timothee Chalamet, Oscar Isaac, Scarlett Johansson"
Lonely Odyssey,2019,6.5,"Animation, Horror, Mystery",Peter Jackson,"Natalie Portman, Matt Damon, Scarlett Johansson"
Invisible Mirror,1985,7.7,"Crime, Romance",Rian Johnson,"Jessica Chastain, Natalie Portman, Morgan Freeman"
Final Chronicle,1990,6.1,"Adventure, Animation, Sci-Fi",Ridley Scott,"Benedict Cumberbatch, Anne Hathaway, Viola Davis"
Velvet Labyrinth Forever,2006,8.0,"Romance, Thriller",Christopher Nolan,"Robert Downey Jr., Michael B. Jordan, Christian Bale"
Last Sky,1995,9.1,"Crime, Mystery, Sci-Fi",Ava DuVernay,"Scarlett Johansson, Michael B. Jordan, Viola Davis"
Wild Cipher of Tomorrow,1994,7.1,"Drama, Romance, Thriller",Bong Joon-ho,"Jake Gyllenhaal, Florence Pugh, Viola Davis"
Neon Truth,2023,5.3,Mystery,Taika Waititi,"Zendaya, Jake Gyllenhaal, Christian Bale"
Royal Sky Rise,2017,7.3,"Mystery, Romance",Ridley Scott,"Morgan Freeman, Anne Hathaway, Samuel L. Jackson"
Lost Truth,2016,5.6,Mystery,Taika Waititi,"Matt Damon, Brad Pitt, Margot Robbie"
Electric Witness,2020,8.3,"Action, Crime, Sci-Fi",Patty Jenkins,"Robert Downey Jr., Sandra Bullock, Leonardo DiCaprio"
Restless Legacy of Fire,1989,5.8,Adventure,Wes Anderson,"Brad Pitt, Johnny Depp, Ryan Gosling"
Fallen Frontier Unbound,2013,5.5,"Adventure, Fantasy, Mystery",Ridley Scott,"Michael B. Jordan, Samuel L. Jackson, Christian Bale"
Neon Voyage,1999,7.4,Action,Greta Gerwig,"Margot Robbie, Gal Gadot, Amy Adams"
Neon Labyrinth,2000,8.4,"Animation, Crime, Drama",James Cameron,"Viola Davis, Keanu Reeves, Amy Adams"
Hidden Frontier,1986,7.6,"Adventure, Comedy",Quentin Tarantino,"Oscar Isaac, Brad Pitt, Margot Robbie"
Last Hunter,2010,5.6,"Comedy, Mystery, Thriller",Guillermo del Toro,"Samuel L. Jackson, Jessica Chastain, Brad Pitt"
Silver Shadow,2021,6.0,"Romance, Thriller",Guillermo del Toro,"Gal Gadot, Sandra Bullock, Anne Hathaway"
Rising Memory Forever,1988,9.3,"Sci-Fi, Thriller",Bong Joon-ho,"Florence Pugh, Benedict Cumberbatch, Brad Pitt"
Sacred Memory Unbound,1994,8.7,"Animation, Fantasy",Guillermo del Toro,"Florence Pugh, Benedict Cumberbatch, Chris Hemsworth"
Shattered Game,1988,5.9,"Fantasy, Mystery, Sci-Fi",Ridley Scott,"Jennifer Lawrence, Chris Hemsworth, Robert Downey Jr."
Golden Island,1990,8.8,"Action, Crime",Patty Jenkins,"Gal Gadot, Oscar Isaac, Brad Pitt"
Frozen Destiny,2020,5.9,"Comedy, Horror",Sofia Coppola,"Johnny Depp, Viola Davis, Leonardo DiCaprio"
